american
,chicken,2535
,salad,1876
,cheese,1285
,grilled,1136
,burger,974
,steak,874
,sandwich,836
,shrimp,644
,fries,622
,salmon,517
,roasted,499
,lobster,473
,chocolate,461
,french,457
,eggs,446
,beef,438
,caesar,420
,tuna,411
,pork,409
,bacon,407
,fish,382
,fresh,377
,turkey,368
,soup,366
,cake,330
ethnic
,chicken,760
,salad,364
,lamb,304
,shrimp,212
,beef,197
,curry,134
,vegetable,131
,soup,127
,grilled,125
,rice,120
,paneer,116
,kebab,110
,cheese,108
,sandwich,104
,falafel,101
,biryani,97
,naan,95
,fish,94
,saag,93
,salmon,91
,shawarma,88
,korma,87
,la,85
,kabob,84
,french,81
italian
,chicken,1879
,salad,1015
,cheese,831
,pizza,685
,grilled,573
,steak,531
,shrimp,454
,wrap,360
,lobster,299
,caesar,281
,sandwich,278
,buffalo,271
,roasted,269
,tuna,268
,pasta,256
,veal,247
,broccoli,245
,eggplant,232
,sausage,229
,spinach,222
,ravioli,219
,fries,218
,parmigiana,212
,fresh,212
,italian,210
mexican or latin
,chicken,241
,burrito,158
,grilled,137
,taco,127
,quesadilla,118
,salad,116
,cheese,105
,steak,100
,pollo,92
,guacamole,83
,shrimp,83
,salsa,82
,chips,79
,tacos,71
,nachos,67
,beans,65
,rice,63
,carne,60
,enchiladas,59
,carnitas,58
,camarones,57
,fajita,56
,mexican,54
,pork,51
,beef,50
cafe
,chicken,2933
,salad,1770
,cheese,1580
,sandwich,970
,steak,735
,grilled,735
,pizza,728
,tea,608
,chocolate,603
,wrap,571
,turkey,551
,egg,542
,beef,525
,hot,459
,ham,440
,buffalo,435
,tuna,405
,caesar,376
,grilled chicken,358
,bacon,356
,fries,355
,greek,341
,fresh,340
,burger,326
,calzone,322
deli
,chicken,2561
,salad,1424
,cheese,1265
,sandwich,745
,pizza,712
,steak,670
,grilled,626
,wrap,470
,turkey,446
,buffalo,404
,beef,379
,egg,373
,ham,339
,caesar,334
,grilled chicken,325
,calzone,322
,tuna,318
,fries,289
,tea,288
,dinner,286
,greek,279
,bacon,276
,burger,266
,hot,263
,veggie,255
bar
,chicken,231
,salad,167
,burger,115
,cheese,107
,grilled,88
,steak,85
,sandwich,84
,fries,73
,irish,65
,chips,57
,caesar,52
,buffalo,47
,fish,44
,potato,43
,pie,43
,beef,41
,wings,41
,breakfast,41
,bacon,41
,soup,38
,turkey,37
,caesar salad,37
,light,34
,wrap,34
,onion,33
grill
,chicken,182
,burger,116
,salad,116
,cheese,102
,sandwich,91
,fries,84
,bbq,67
,grilled,50
,buffalo,46
,pork,46
,bacon,44
,beef,39
,wings,37
,potato,36
,eggs,35
,chili,33
,caesar,30
,steak,29
,french,29
,hot,28
,pie,28
,turkey,28
,veggie,27
,texas,26
,pulled pork,24
asian
,chicken,4224
,beef,2609
,rice,2549
,shrimp,2090
,pork,2068
,maki,1782
,spicy,1624
,soup,1474
,fried rice,1332
,sauce,1277
,tofu,1057
,vegetable,1038
,salmon,875
,noodle,863
,curry,802
,salad,773
,special,758
,seafood,747
,lunch,695
,noodles,672
,thai,659
,fish,650
,teriyaki,637
,egg,615
,crispy,599
healthy
,chicken,301
,salad,145
,lamb,92
,shrimp,91
,soup,84
,beef,67
,paneer,65
,tea,62
,vegetable,60
,curry,59
,sandwich,57
,tofu,53
,naan,52
,rice,50
,mango,49
,biryani,47
,wrap,42
,korma,42
,green,42
,grilled,40
,cheese,39
,hot,39
,egg,35
,chocolate,34
,coconut,33
southern
,chicken,17
,cheese,12
,sausage,8
,fries,8
,pork,7
,roasted,6
,salad,6
,crispy,6
,steak,5
,mexican,5
,shrimp,5
,chocolate,5
,cajun,5
,bowl,5
,tacos,5
,grilled,5
,chorizo,5
,house,4
,bacon,4
,corn,4
,salsa,4
,potatoes,4
,rice,4
,stuffed,4
,fish,4
desserts
,chocolate,159
,cookies,85
,chocolate chip,75
,chocolate chip cookies,64
,cream,35
,strawberry,34
,butter,33
,vanilla,30
,pie,30
,sorbet,28
,banana,27
,peanut,26
,mint,25
,peanut butter,25
,fudge,25
,cake,25
,ice cream,25
,caramel,22
,raspberry,21
,white,20
,cookie,18
,white chocolate,17
,large,17
,mango,17
,sandwich,16
